year,gender,lead,correlation
1997,M,1,0.9791304347826086
1997,F,2,0.87012987012987
1997,M,2,0.9367588932806324
1997,F,3,0.8192982456140351
1997,M,3,0.8339920948616601
1998,F,1,0.9608695652173911
1998,M,1,0.9535573122529645
1998,F,2,0.8883116883116884
1998,M,2,0.8804347826086957
1998,F,3,0.6827067669172933
1998,M,3,0.790513833992095
1999,F,1,0.9469226425748164
1999,M,1,0.9443478260869564
1999,F,2,0.7805194805194805
1999,M,2,0.8799999999999999
1999,F,3,0.6194805194805195
1999,M,3,0.8982213438735178
2000,F,1,0.9191304347826086
2000,M,1,0.9238461538461539
2000,F,2,0.775691699604743
2000,M,2,0.7521739130434781
2000,F,3,0.5623376623376622
2000,M,3,0.7193675889328064
2001,F,1,0.9219367588932805
2001,M,1,0.9008695652173911
2001,F,2,0.8025974025974025
2001,M,2,0.8764822134387352
2001,F,3,0.6877192982456141
2001,M,3,0.8418972332015809
2002,F,1,0.9515810276679842
2002,M,1,0.9799999999999999
2002,F,2,0.8792207792207792
2002,M,2,0.9624505928853755
2002,F,3,0.8090225563909774
2002,M,3,0.9457933370976848
2003,F,1,0.9535573122529645
2003,M,1,0.9878260869565216
2003,F,2,0.8588368153585544
2003,M,2,0.9713438735177865
2003,F,3,0.8012987012987013
2003,M,3,0.9469226425748164
2004,F,1,0.8488142292490118
2004,M,1,0.974782608695652
2004,F,2,0.7549407114624506
2004,M,2,0.967391304347826
2004,F,3,0.6431394692264257
2004,M,3,0.9017504234895538
2005,F,1,0.9599999999999999
2005,M,1,0.9521739130434781
2005,F,2,0.8903162055335968
2005,M,2,0.8922924901185771
2005,F,3,0.7571993224167136
2005,M,3,0.8766917293233083
2006,F,1,0.9513043478260869
2006,M,1,0.9695652173913042
2006,F,2,0.8606719367588933
2006,M,2,0.9337662337662338
2006,F,3,0.7608695652173914
2006,M,3,0.7969924812030076
2007,F,1,0.9113043478260869
2007,M,1,0.935064935064935
2007,F,2,0.8043478260869564
2007,M,2,0.7969924812030076
2007,F,3,0.7518796992481203
2007,M,3,0.6403508771929826
2008,F,1,0.9323076923076924
2008,M,1,0.9268774703557312
2008,F,2,0.8961038961038961
2008,M,2,0.8091473743647656
2008,F,3,0.8390092879256965
2008,M,3,0.6374929418407679
2009,F,1,0.9766233766233766
2009,M,1,0.9469565217391304
2009,F,2,0.9566563467492261
2009,M,2,0.8171936758893281
2009,F,3,0.9558823529411766
2009,M,3,0.7638339920948616
2010,F,1,0.9819548872180452
2010,M,1,0.8756521739130433
2010,F,2,0.936842105263158
2010,M,2,0.7956521739130433
2010,F,3,0.8872549019607845
2010,M,3,0.7055335968379446
2011,F,1,0.961038961038961
2011,M,1,0.9147826086956521
2011,F,2,0.9051948051948052
2011,M,2,0.7618577075098815
2011,F,3,0.8051948051948052
2011,M,3,0.6314229249011858
